timestamp,sender,receiver,message
2025-01-01 10:00:00,user,neha,Gym today?
2025-01-01 11:00:00,user,neha,You there?
2025-01-01 11:55:00,neha,user,Trip plan?
2025-01-01 16:00:00,user,karan,Coffee this weekend?
2025-01-01 19:00:00,user,priya,Gym today?
2025-01-02 04:00:00,user,dev,You there?
2025-01-02 07:16:00,priya,user,You there?
2025-01-02 07:22:00,user,priya,Free tonight?
2025-01-02 09:00:00,user,meera,Still pending
2025-01-02 09:06:00,neha,user,Trip plan?
2025-01-02 10:01:00,user,neha,What's up
2025-01-02 14:34:00,meera,user,Missed your call
2025-01-02 15:00:00,user,priya,Project update?
2025-01-02 16:21:00,dev,user,Call later?
2025-01-02 16:51:00,user,dev,How are things?
2025-01-02 18:00:00,user,dev,Meeting tomorrow?
2025-01-02 19:55:00,dev,user,What's up
2025-01-02 22:00:00,user,arjun,Interview update?
2025-01-03 00:00:00,user,aman,Trip plan?
2025-01-03 05:00:00,user,karan,Coffee this weekend?
2025-01-03 08:45:00,arjun,user,Review this
2025-01-03 09:14:00,priya,user,Project update?
2025-01-03 10:43:00,user,arjun,Free tonight?
2025-01-03 11:00:00,user,priya,You there?
2025-01-03 18:00:00,user,sneha,Long time no talk
2025-01-03 18:24:00,aman,user,Interview update?
2025-01-03 22:24:00,karan,user,What's up
2025-01-03 23:24:00,sneha,user,Deadline near
2025-01-04 01:00:00,user,neha,Project update?
2025-01-04 02:59:00,priya,user,Trip plan?
2025-01-04 06:00:00,user,sneha,Gym today?
2025-01-04 09:00:00,user,neha,Interview update?
2025-01-04 11:42:00,neha,user,Review this
2025-01-04 14:00:00,user,aman,Trip plan?
2025-01-04 19:39:00,aman,user,You there?
2025-01-05 06:00:00,user,priya,Call later?
2025-01-05 07:00:00,user,rahul,What's up
2025-01-05 17:33:00,priya,user,Trip plan?
2025-01-05 18:02:00,user,priya,Hey
2025-01-05 18:17:00,rahul,user,Let's catch up
2025-01-05 19:20:00,user,rahul,Missed your call
2025-01-05 21:00:00,user,neha,Long time no talk
2025-01-05 22:00:00,user,priya,Meeting tomorrow?
2025-01-06 00:00:00,user,karan,Free tonight?
2025-01-06 01:44:00,priya,user,Missed your call
2025-01-06 06:00:00,user,rahul,Trip plan?
2025-01-06 08:00:00,user,aman,Review this
2025-01-06 09:00:00,user,karan,All good?
2025-01-06 09:06:00,neha,user,Free tonight?
2025-01-06 13:00:00,user,arjun,Trip plan?
2025-01-06 18:00:00,user,dev,Meeting tomorrow?
2025-01-06 19:58:00,dev,user,Review this
2025-01-07 00:00:00,user,aman,Call later?
2025-01-07 09:00:00,user,rahul,Long time no talk
2025-01-07 11:36:00,arjun,user,Coffee this weekend?
2025-01-07 12:04:00,user,arjun,What's up
2025-01-07 15:00:00,user,sneha,All good?
2025-01-07 16:00:00,user,rahul,Interview update?
2025-01-07 19:25:00,rahul,user,Missed your call
2025-01-07 19:29:00,sneha,user,How are things?
2025-01-07 21:00:00,user,arjun,Trip plan?
2025-01-08 02:00:00,user,arjun,Gym today?
2025-01-08 07:20:00,arjun,user,Presentation ready?
2025-01-08 07:27:00,rahul,user,Presentation ready?
2025-01-08 08:00:00,user,neha,Deadline near
2025-01-08 08:01:00,user,rahul,Missed your call
2025-01-08 09:00:00,user,rahul,Coffee this weekend?
2025-01-08 09:05:00,user,arjun,Trip plan?
2025-01-08 11:00:00,user,meera,Long time no talk
2025-01-08 17:00:00,user,aman,Still pending
2025-01-08 18:00:00,user,neha,Gym today?
2025-01-08 20:54:00,arjun,user,How are things?
2025-01-09 01:16:00,neha,user,What's up
2025-01-09 02:11:00,user,neha,Deadline near
2025-01-09 04:00:00,user,karan,Meeting tomorrow?
2025-01-09 06:05:00,neha,user,Long time no talk
2025-01-09 06:09:00,meera,user,Call later?
2025-01-09 08:00:00,user,meera,Free tonight?
2025-01-09 12:00:00,user,sneha,Call later?
2025-01-09 12:53:00,aman,user,Long time no talk
2025-01-09 13:33:00,user,aman,Still pending
